T_UPDATE,CALLSIGN,OPERATOR,TYPE_OF_TRANSPONDER,T0,ICAO_ACTYPE,ADEP,DEST,TAS,RFL
26-8-2019 07:05:07,AFR21MY,AFR,H,26-8-2019 02:35:00,A321,LFPG,EHAM,401,220.0
26-8-2019 06:50:06,KLM67K,KLM,L,26-8-2019 02:35:00,E75L,EGNJ,EHAM,450,230.0
26-8-2019 07:05:07,IBS3721,IBS,S,26-8-2019 02:35:00,A320,EHAM,LEMD,430,210.0
26-8-2019 06:20:08,TRA5233,TRA,L,26-8-2019 02:35:00,B738,EHEH,LKPR,383,230.0
26-8-2019 06:50:08,KLM1164,KLM,L,26-8-2019 02:36:00,B738,EFHK,EHAM,448,260.0
26-8-2019 07:05:08,AAL204,AAL,L,26-8-2019 02:37:00,B763,KPHL,EHAM,460,330.0
26-8-2019 06:35:08,FIN46V,FIN,S,26-8-2019 02:37:00,E190,EBBR,EFHK,447,390.0
26-8-2019 07:05:07,KLM462,KLM,L,26-8-2019 02:37:23,B739,LLBG,EHAM,465,360.0
26-8-2019 06:35:08,LOT2975,LOT,S,26-8-2019 02:38:00,CRJ9,EETN,EBBR,443,330.0
26-8-2019 06:50:06,KLM71C,KLM,L,26-8-2019 02:38:00,B737,LFBO,EHAM,447,400.0
26-8-2019 07:05:07,BEL184,BEL,H,26-8-2019 02:38:00,A319,EGCC,EBBR,454,230.0
26-8-2019 06:50:07,DAL178,DAL,L,26-8-2019 02:39:02,B763,KPDX,EHAM,460,350.0
26-8-2019 06:50:07,TFL787,TFL,L,26-8-2019 02:40:00,B763,EHAM,LTBJ,448,310.0
26-8-2019 07:05:08,KLM66G,KLM,L,26-8-2019 02:40:00,B737,EGNT,EHAM,450,230.0
26-8-2019 06:50:06,KLM933,KLM,H,26-8-2019 02:40:00,E190,EHAM,EIDW,454,380.0
26-8-2019 06:50:07,TRA95H,TRA,L,26-8-2019 02:40:00,B738,EHEH,LGIR,364,190.0
26-8-2019 06:50:06,KLM1264,KLM,L,26-8-2019 02:40:00,B737,LFML,EHAM,448,240.0
26-8-2019 07:05:09,EZY72VG,EZY,L,26-8-2019 02:40:00,A319,EGGP,EHAM,460,330.0
26-8-2019 06:50:07,KLM74R,KLM,L,26-8-2019 02:40:00,B738,ESSA,EHAM,449,380.0
26-8-2019 07:50:08,XRO503,XRO,S,26-8-2019 02:40:00,C680,EHTW,EDDG,180,0.0
26-8-2019 06:50:07,KLM1628,KLM,L,26-8-2019 02:40:00,B738,LIMC,EHAM,453,340.0
