icao,iata,name,city,subd,country,elevation,lat,lon,tz,lid
SPSL,,Lamas Airport,Lamas,San Martin,PE,2600,-6.416666508,-76.53333282,America/Lima,
SPSN,,Shapaja Airport,Shapaja,San Martin,PE,700,-6.57972002,-76.26280212,America/Lima,
SPSO,PIO,Capitan FAP Renan Elias Olivera International Airport,Pisco,Ica,PE,39,-13.74489975,-76.22029877,America/Lima,
SPSS,,Masisea Airport,Masisea,Ucayali,PE,0,-8.605278015,-74.30472565,America/Lima,
SPST,TPP,Cadete FAP Guillermo Del Castillo Paredes Airport,Tarapoto,San Martin,PE,869,-6.508739948,-76.37319946,America/Lima,
SPSY,SYC,Shiringayoc Airport,Shiringayoc,Madre-de-Dios,PE,856,-11.88329983,-69.19999695,America/Lima,
SPTA,,Nauta Airport,Nauta,Loreto,PE,370,-4.533299923,-73.55000305,America/Lima,
SPTE,,San Francisco Airport,San Francisco,Ayacucho,PE,2499,-12.53299999,-73.80000305,America/Lima,
SPTI,,Puerto Inca Airport,Puerto Inca,Huanuco,PE,583,-9.383000374,-74.96700287,America/Lima,
SPTN,TCQ,Coronel FAP Carlos Ciriani Santa Rosa International Airport,Tacna,Tacna,PE,1538,-18.05330086,-70.27580261,America/Lima,
SPTP,,El Pato Air Base,El Pato,Piura,PE,286,-4.549809933,-81.22409821,America/Lima,
SPTQ,,Toquepala Airport,Toquepala,Tacna,PE,8536,-17.29949951,-70.65280151,America/Lima,
SPTR,,Tournavista Airport,Tournavista,Huanuco,PE,649,-8.916999817,-74.73300171,America/Lima,
SPTU,PEM,Padre Aldamiz International Airport,Puerto Maldonado,Madre-de-Dios,PE,659,-12.61359978,-69.22859955,America/Lima,
SPTY,,Tintay Airport,Tintay,Apurimac,PE,8809,-13.95916653,-73.18583679,America/Lima,
SPUC,,Huamachuco Airport,Huamachuco,La Libertad,PE,11224,-7.821640015,-78.04170227,America/Lima,
SPUR,PIU,Capitan FAP Guillermo Concha Iberico International Airport,Piura,Piura,PE,120,-5.205749989,-80.61640167,America/Lima,
SPVA,,Hacienda El Valor Airport,El Valor,Amazonas,PE,0,-5.662499905,-78.64472198,America/Lima,
SPVI,,Vicco Airport,Vicco,Pasco,PE,13464,-10.84784412,-76.24695587,America/Lima,
SPVL,,Caraveli Airport,Caraveli,Arequipa,PE,5675,-15.7670002,-73.36699677,America/Lima,
SPVR,,Vitor Airport,Vitor,Arequipa,PE,0,-16.42919922,-71.83779907,America/Lima,
SPYA,,Luya Airport,Luya,Lambayeque,PE,298,-6.691699982,-79.7016983,America/Lima,
SPYL,TYL,Capitan Montes Airport,,Piura,PE,282,-4.576640129,-81.25409698,America/Lima,
SPYO,,Pacasmayo Airport,Pacasmayo,La Libertad,PE,95,-7.406939983,-79.56890106,America/Lima,
SPYU,,Yauca Airport,Yauca,Arequipa,PE,488,-15.6189003,-74.53610229,America/Lima,
SPZA,NZC,Maria Reiche Neuman Airport,,Ica,PE,1860,-14.85400009,-74.96150208,America/Lima,
